"","seed","Train_RMSE","Test_RMSE","Train_p","Test_p","Train_coef","Test_coef","n_features_input","Important_features","important_features_value"
"rho",433,0.0748295941592209,0.216101495094504,4.73810190363194e-16,0.53640873015873,0.961117340183808,0.261904761904762,17,"TNK2;MAP3K1;CDK9;PIK3CA;MAP2K1;MTOR","25.4636616341587;75.4660260189393;100;30.9339412110407;36.7361839006036;30.9380711333695"
"rho1",80,0.0829559514040324,0.214860128909734,2.43339690803646e-13,0.365202058019778,0.936473305820121,0.37126414119311,26,"CSNK1E;MAP3K1;CDK9;PIK3CA;MAP2K1;MTOR;STK3","24.3101879889504;100;28.6105459398555;23.9575382305477;75.80938375314;29.0446870230475;37.7519196152802"
"rho2",380,0.0774461742835737,0.158239200727272,4.52142908273961e-16,0.151140873015873,0.961259492423226,0.571428571428572,24,"TNK2;MAP3K1;PIK3CA;MAP2K1;MAST1;MTOR;MAP3K3;MKNK2;CDKL5;RIPK3","24.5152488626146;61.0331101197052;24.1137283270234;79.6298295494816;25.5037689830963;28.5269271852754;100;34.6793649263068;50.0461678046709;34.2968000305534"
"rho3",174,0.073238826263108,0.191101349081431,3.13380219704714e-16,0.00223214285714286,0.96235463283043,0.928571428571429,32,"MAP3K1;MAP2K1;MAPK9;MTOR;MAP3K3","100;31.1216878215125;25.5019647967629;28.4058705532807;35.1172368282982"
"rho4",119,0.07686996704985,0.166305983731304,2.5983287146796e-16,0.216170634920635,0.962902203034032,0.5,21,"SRPK1;TNK2;MAP3K1;CDK9;MINK1;MAP2K1;MAP3K3;CDKL5;FYN;RIPK3","47.7415381696621;45.5857113469728;92.3713228902896;72.4651986120229;27.4570339122374;63.5000992998348;69.718353852344;100;29.1961902577999;27.9430475157559"
"rho5",440,0.0719870173130742,0.251128738913542,2.93690005532518e-18,0.976785714285714,0.973846592751023,-0.0238095238095238,24,"TNK2;MAP3K1;PIK3CA;CAMK2D;MAPK9;MTOR;STK3;MAP3K3;CAMK2A;CDKL5;HIPK3;FYN;RIPK3","28.8431319170228;74.4192171902496;43.8754800316791;25.3246941030868;22.038123687062;79.3323535726988;72.2824288651389;100;42.4438099793267;32.4365313325679;22.0509981601013;38.9187154015418;32.3402032637577"
"rho6",301,0.0753516079870041,0.166537255691565,5.18263359008814e-16,0.0217757936507936,0.960843517579767,0.80952380952381,34,"MAP3K1;MAP2K1;MAP3K3;CDKL5;RIPK3","100;26.1724419644553;35.9477396142951;53.8796858952169;22.6446982274971"
"rho7",482,0.0749975489325741,0.179089441491923,2.0853993623609e-15,0.0458333333333333,0.956331360590808,0.738095238095238,25,"MAP2K1;STK3;MAP3K3;CDKL5;RIPK3","34.4944724257485;39.975033795597;57.8687779468169;100;28.5315119201977"
"rho8",172,0.0647234574303783,0.212987357599968,5.67897699576979e-15,0.359871031746032,0.95275936338043,0.380952380952381,17,"SRPK1;MAPK9;MAP3K3;CDKL5","24.7674975445655;41.7783497455072;100;56.230222499201"
"rho9",121,0.072260231282188,0.203014883007114,9.74048200370899e-17,0.170982142857143,0.965640054052041,0.547619047619048,24,"MAP4K5;MAP3K1;MAP2K1;MAP3K3;CDKL5;RIPK3","24.9934445125814;51.9788104341121;46.8026285344894;28.5941311586648;100;46.606137394664"
"rho10",3,0.0878236799815852,0.160811792232961,6.32979559457023e-15,0.389384920634921,0.952355016854497,0.357142857142857,26,"MAPK14;SRPK1;TNK2;MAP3K1;CDK9;MINK1;PIK3CA;ABL2;CAMK2D;MAPK9;MTOR;STK3;MAP3K3;CAMK2A;CDKL5","25.9054972786314;32.3286497922039;22.3808468637567;100;40.0007661421618;21.4543972261668;40.566221113144;23.272081688922;26.727751786895;23.1155377363653;42.0197243310328;36.888136133621;38.5400580050472;21.7970770664569;21.5123177815411"
"rho11",399,0.0693984486576984,0.225547609127263,3.8200412053614e-18,0.619097222222222,0.973306036902469,0.214285714285714,27,"MAP3K1;MTOR;STK3;MAP3K3","67.4776295702626;29.6628574613907;26.8332481375954;100"
"rho12",244,0.0833935297429665,0.123896397969511,1.22440124968305e-15,0.00724206349206349,0.95811665237916,0.880952380952381,30,"SRPK1;MAP3K1;CDK9;MAP2K1;MAP3K3;FYN;RIPK3","23.5303870248682;100;20.2391293299814;47.9597625226427;83.98281788871;36.339200076391;58.3314329067253"
"rho13",315,0.0751354270274694,0.198073255343518,3.95823028347203e-14,0.191549313415866,0.944961806545391,0.514979292622701,17,"MAP3K1;MAP2K1;MTOR;MAP3K3;FYN","77.3974565081244;45.4227009203953;22.7506428611431;100;27.0618433302329"
"rho14",114,0.0845698117564878,0.134720826449435,2.71893517469071e-16,0.0575892857142857,0.962770361833573,0.714285714285714,37,"MAP3K1;MAP3K3;CDKL5;RIPK3","100;70.7754184457706;45.8627312235488;23.4762490521138"
"rho15",286,0.0753230607312499,0.216412649901556,3.59318840694085e-14,0.267460317460317,0.945379956518769,0.452380952380952,28,"TNK2;MAP3K1;CDK9;KIT;MAP2K1;MTOR;STK3;MAP3K3;CDKL5;HIPK3","37.0149249205467;66.5404167734315;34.4915412256433;47.5101222751194;64.1846663322602;79.8910082045181;66.5716235416103;100;38.1158281245847;20.9597510503438"
"rho16",54,0.0744963891525812,0.206345609878227,4.72172059654317e-16,0.243055555555556,0.96112787614378,0.476190476190476,17,"TNK2;MAP3K1;CDK9;MAP2K1;ABL2;MTOR;STK3;CDKL5","35.5817628614623;100;80.4925042217499;30.5133307276046;33.5118930990259;59.1035324649432;28.8808516411317;29.7638580724313"
"rho17",311,0.0677546636363369,0.236466784670797,3.95901297818716e-17,0.427876984126984,0.967971566517917,0.333333333333333,17,"MAP4K5;TNK2;MAP3K1;CDK9;PIK3CA;MAP2K1;MAST1;MTOR;CDKL5","20.0348294206447;49.4619790738655;100;41.8673616420474;30.568254176597;27.627411622964;23.27487635416;39.9931988124203;47.4939809894414"
"rho18",87,0.0795290152704834,0.159044063415003,1.85823021848807e-15,0.0279265873015873,0.956724508134894,0.785714285714286,21,"MAP3K1;PIK3CA;MAP2K1;MTOR;STK3;MAP3K3","79.6442406983737;38.2974738988059;46.1474620810344;33.024969002324;24.1845184306612;100"
"rho19",237,0.070807651201096,0.241162027333702,5.46351556824259e-15,0.216170634920635,0.952902662062579,0.5,19,"SRPK1;TNK2;MAP3K1;CDK9;KIT;MAP2K1;LIMK2;MAST1;MTOR;MAP3K3;CAMK2A;CDKL5;PRKACB","22.1771292927895;43.7870842880969;67.2954381528206;41.0610596011589;21.9007880848599;58.7318865764539;22.1234984741081;66.0854964061441;68.3248600746547;100;21.6667540741704;51.7537422539752;43.2352395726469"
"rho20",307,0.0819166216858133,0.160684537325977,3.76924285415643e-16,0.132291666666667,0.961807062626828,0.595238095238095,32,"MAP3K1;PAK3;MAP2K1;STK3;MAP3K3;CDKL5;FYN;PRKACB;RIPK3","100;23.0239262991332;64.798444067244;30.0640826783898;75.0541559917119;47.6521285213603;27.5813669769155;23.378437358678;43.2516299629211"
"rho21",409,0.0693638353172,0.199532943358176,2.74056691382593e-18,0.316709184916128,0.973987002573733,0.407192929050508,17,"TNK2;MAP3K1;CDK9;MAP2K1;MTOR;MAP3K3","21.4955999183613;100;32.2037135841068;25.7994614393584;22.2791516713887;41.6416303646203"
"rho22",374,0.0772182174775723,0.229027164156267,2.25839783777483e-15,0.196626984126984,0.956057575489007,0.523809523809524,20,"MAP3K1;CDK9;MAP2K1;MAST1;MTOR;BMP2K","94.0029129586081;50.655997871462;22.2552990234583;100;63.2033055083961;82.8551742435573"
"rho23",393,0.0783313864997688,0.177470509224998,5.66526761817537e-16,0.0693948412698413,0.960569694975726,0.690476190476191,26,"MAP3K1;MAP2K1;MAP3K3;CDKL5","60.7631435230418;43.8000270797549;100;26.7325393526113"
"rho24",348,0.0789921768746172,0.174419536208657,8.25535006244081e-14,0.0830853174603175,0.941675935296899,0.666666666666667,22,"MAP3K1;MTOR","100;25.6072371628079"
"rho25",360,0.0793131219559772,0.13517727087127,2.25738939553787e-16,0.132291666666667,0.963307921016136,0.595238095238095,29,"SRPK1;MAP3K1;PIK3CA;MAST1;MAPK9;MTOR;MAP3K3;MKNK2","54.3041057637976;100;23.9287742392283;20.890276858331;33.5697859346431;27.2453038619953;89.7899995086544;26.270778720488"
"rho26",496,0.0675843126138018,0.169798082884741,4.65597901936722e-18,0.299206349206349,0.97289171215757,0.428571428571429,21,"MAP3K1;MAP2K1;MAP3K3;CDKL5;RIPK3","61.8718323967857;33.6011025850421;100;80.1103121439869;24.7999543453152"
"rho27",294,0.0593962300068016,0.286140783285337,9.23898883608816e-17,0.881994047619048,0.965781585598193,-0.0714285714285714,19,"MAP2K1;MTOR;MAP3K3","100;56.2103688004906;43.3725003906152"
"rho28",173,0.0694362042125892,0.279502737142772,6.10972968555983e-14,0.976785714285714,0.943045048317104,-0.0238095238095238,12,"TNK2;CDK9;PIK3CA;MAP2K1;MAST1","48.0409700785955;36.5834614464923;37.6434685611045;100;78.7131893762973"
"rho29",402,0.0832817303801206,0.171026592734385,6.45493881078273e-17,0.06869274160506,0.966726229586926,0.670670706671425,28,"ERN1;MAPK14;SRPK1;TNK2;MAP3K1;CDK9;MINK1;PIK3CA;KIT;MAP2K1;MAST1;MTOR;STK3;MAP3K3;CAMK2G;CAMK2A;RPS6KA3;RPS6KA4;CDKL5;FYN;PRKACB;AURKB;RIPK3","21.8571518094028;36.3381825406047;20.1975564839381;47.5962794983093;95.1121800713411;51.8883601561826;22.809133259244;39.8680543034722;21.3813132858214;100;38.599611408306;53.9979911544375;86.3280368981598;89.7044216436902;27.2651222948275;24.7771741606085;27.2396192819615;21.2410256558287;49.855777801811;33.1827018651302;26.8096879713105;21.7722801428754;56.5003696494842"
"rho30",235,0.0774544684816235,0.213537382417071,2.00008350945378e-15,0.0279265873015873,0.956474166689367,0.785714285714286,28,"MAP3K1;KIT;MAP2K1;MTOR;MKNK2","100;36.9623077740483;62.8384640436501;24.8318353150273;21.2971915341206"
"rho31",22,0.0652121503984591,0.278324699463588,2.96463322896331e-14,0.170982142857143,0.946201311824172,0.547619047619048,22,"MAP3K1;CDK9;MAP2K1;MTOR","100;28.2403661165101;49.9182869550325;24.1763448545399"
"rho32",483,0.0819438912470194,0.137252988798552,6.1889645087085e-16,0.126198985536089,0.960295872371685,0.586836868337497,38,"CSNK1E;MAP3K1;MAP2K1;MAP3K3;RIPK3","24.9079706391768;100;20.4296351452882;37.6752351170015;23.9186971315383"
"rho33",451,0.0834821209741118,0.151007414135276,1.57410404068585e-15,0.114980158730159,0.957283823727234,0.619047619047619,26,"TNK2;MAP3K1;CDK9;MAST1;MAP3K3;CDKL5;BMP2K;RIPK3","25.8106060116466;80.649347024245;100;22.5719620915206;72.0331340297947;68.6679612209351;55.029183578844;40.6220841602772"
"rho34",369,0.0851483537463951,0.104476125916037,5.99909373614207e-18,0.0279265873015873,0.972351528357364,0.785714285714286,30,"MAP3K1;MAP2K1;MAP3K3;CDKL5;FYN;RIPK3","100;24.7324146470848;44.2312465458858;20.3013157393768;30.9452046562672;41.1602180044929"
"rho35",448,0.073552510435208,0.195570913636729,1.03869513128868e-15,0.84354649233283,0.958652936747439,0.0838338383339281,27,"MAP3K1;CDK1;CDK5;MAP3K3;CDKL5;FYN;RIPK3","100;38.6282310048156;39.524415766809;63.5015855302968;57.6298838175093;42.683079224994;41.0957032959664"
"rho36",444,0.0749628604885178,0.186200990590169,8.45284002320805e-15,0.132291666666667,0.951259726438333,0.595238095238095,26,"TNK2;MAP3K1;MAP2K1;STK3;MAP3K3;CDKL5;PRKACB","24.9926337808236;92.8392393161367;26.652615590193;76.0896945080586;100;24.1680451322296;35.2646545912053"
"rho37",350,0.0833884023524723,0.172939554868198,9.29352337495106e-13,0.0458333333333333,0.929353918115055,0.738095238095238,31,"SRPK1;MAP3K1;MAP3K3;BMP2K","24.9188212786584;100;28.6379771295026;52.7441324576475"
"rho38",86,0.0697541865702368,0.226283946661624,3.47587589651951e-15,0.170982142857143,0.954545597686825,0.547619047619048,24,"TNK2;MAP3K1;CDK9;MAP2K1;MAST1;MTOR;MAP3K3;CDKL5;PRKACB","29.3215977751916;80.0012993458563;30.5508511953887;43.1635635309879;100;75.200974895414;94.8739258348363;53.8892175360989;46.8964001817071"
"rho39",304,0.0647708181051915,0.20624493799778,1.99211855168004e-19,0.216608204140214,0.978781738938488,0.491026767384436,25,"MAP3K1;MAP2K1;ABL1;MTOR;STK3;MAP3K3;CDKL5","100;37.6319644159081;33.7078141211555;25.6339600184195;23.5668162039606;37.1755201466265;41.7077563832603"
"rho40",121,0.072260231282188,0.203014883007114,9.74048200370899e-17,0.170982142857143,0.965640054052041,0.547619047619048,24,"MAP4K5;MAP3K1;MAP2K1;MAP3K3;CDKL5;RIPK3","24.9934445125814;51.9788104341121;46.8026285344894;28.5941311586648;100;46.606137394664"
"rho41",104,0.0801503178294859,0.138266461194173,4.70750657542018e-15,0.132291666666667,0.953450307270661,0.595238095238095,29,"MAP3K1;MAPK9;STK3;MAP3K3;MKNK2;CDKL5;RIPK3","62.1361805762809;26.1236730374393;21.6432087299247;100;25.8038589877011;51.6939365918644;22.54394953727"
"rho42",444,0.0749628604885178,0.186200990590169,8.45284002320805e-15,0.132291666666667,0.951259726438333,0.595238095238095,26,"TNK2;MAP3K1;MAP2K1;STK3;MAP3K3;CDKL5;PRKACB","24.9926337808236;92.8392393161367;26.652615590193;76.0896945080586;100;24.1680451322296;35.2646545912053"
"rho43",447,0.0741107877945695,0.190896857930979,1.46058861000746e-16,0.0961805555555556,0.964535348613358,0.642857142857143,25,"MAP3K1;MAP2K1;STK3;MAP3K3;CDKL5","100;27.8865557772292;61.7592913700363;48.0381495448448;37.5910246821232"
"rho44",473,0.0842313333763637,0.146660319246195,4.52636328739414e-15,0.0458333333333333,0.953593509572798,0.738095238095238,33,"MAP3K1;MAP3K3;CDKL5;FYN;RIPK3","100;30.7153529681784;24.4562421891855;20.3942634742936;43.300695307799"
"rho45",115,0.0764943434563268,0.205819982301746,1.04552178261677e-14,0.793005952380952,0.95043825862621,0.119047619047619,27,"TNK2;MAP3K1;KIT;MAP3K3;FYN","20.3482335063535;100;23.1450501815326;89.1777151098161;46.3993285445202"
"rho46",466,0.0823779230931977,0.159515014378622,8.74483681492713e-15,0.299206349206349,0.951129443656589,0.428571428571429,26,"TNK2;MAP3K1;MTOR;STK3;MAP3K3","26.6339091939737;100;22.5903430017844;28.3752494157495;64.9039648603812"
"rho47",300,0.0640328859686964,0.251956655489591,9.07726686513258e-15,0.582142857142857,0.950985903834292,-0.238095238095238,15,"SRPK1;MTOR;MAP3K3;RIPK3","30.8307861803251;22.7287214567412;100;20.2336148509046"
"rho48",287,0.077861104506437,0.144925148067687,2.01557202566069e-17,0.114980158730159,0.96961405220771,0.619047619047619,25,"SRPK1;TNK2;MAP3K1;PAK3;MAP2K1;MAST1;MTOR;STK3;MAP3K3;CDKL5;PRKACB;RIPK3","24.7173977568858;31.2033117782216;100;20.2805797013306;21.8027502028905;24.2299046462854;27.9033001133031;27.0441627291677;48.8382506280636;45.0705057724625;25.3898751377615;22.8369283451286"
"rho49",495,0.0758586710672572,0.223872738545917,1.52708115744883e-14,0.299206349206349,0.948939162842182,0.428571428571429,14,"TNK2;MAP3K1;CDK9;PIK3CA;MTOR","43.6368317102929;100;35.8611463947555;24.1185276967937;30.5425055291669"
